URL,Failed Requests,50%,66%,75%,80%,90%,95%,98%,99%,100%
http://localhost:9393/runtime/apps/administration,0,5,6,7,7,9,11,15,25,112
http://localhost:9393/runtime/apps/hot/instances?pageable=today&assembler=various,0,5,6,7,8,9,12,16,20,63
http://localhost:9393/runtime/apps/explain/instances?pageable=even&assembler=training,0,5,6,7,7,9,11,16,19,66
http://localhost:9393/runtime/apps/matter/instances?pageable=clearly&assembler=although,0,5,6,7,7,9,12,16,25,54
http://localhost:9393/runtime/apps/home/instances?pageable=ago&assembler=article,0,5,6,7,8,9,11,15,22,49
http://localhost:9393/runtime/apps/seven/instances/adult,0,5,6,7,8,10,12,16,20,40
http://localhost:9393/runtime/apps/above/instances/serve,0,5,6,7,7,9,11,14,17,41
http://localhost:9393/runtime/apps/age/instances/ability,0,5,6,7,7,9,11,16,19,39
http://localhost:9393/runtime/apps/usually/instances/play,0,5,6,7,8,10,12,17,20,43
http://localhost:9393/completions/task?start=message&detailLevel=57684,0,233,241,246,249,259,271,288,309,418
http://localhost:9393/completions/task?start=war&detailLevel=44971,0,232,239,243,246,255,263,282,296,381
http://localhost:9393/completions/task?start=suddenly&detailLevel=26982,0,232,240,245,249,259,269,284,301,377
http://localhost:9393/completions/task?start=within&detailLevel=40422,0,237,246,252,256,268,280,295,307,413
http://localhost:9393/completions/stream?start=during&detailLevel=62578,0,254,264,270,274,286,297,311,331,525
http://localhost:9393/completions/stream?start=thousand&detailLevel=22112,0,245,254,260,264,275,284,300,328,469
http://localhost:9393/completions/stream?start=score&detailLevel=22488,0,243,251,256,259,268,276,285,293,389
http://localhost:9393/completions/stream?start=right&detailLevel=22210,0,243,252,258,262,272,284,297,310,465
http://localhost:9393/,0,6,7,8,8,9,11,12,14,24
http://localhost:9393/,0,6,6,7,7,8,9,11,13,27
http://localhost:9393/,0,6,7,7,8,9,10,12,15,27
http://localhost:9393/,0,6,7,7,8,9,10,12,14,30
