URL,Failed Requests,50%,66%,75%,80%,90%,95%,98%,99%,100%,Bottleneck Length,Average Memory Usage (MB),Average Network Usage (MBps)
/runtime/apps/Democrat/instances?pageable=take&assembler=learn,0,53,67,78,87,117,148,192,228,699,0.0,72.89871794871794,5.528430509385648
/runtime/apps/do/instances?pageable=worker&assembler=eight,0,52,65,77,85,111,137,184,216,392,0.0,72.8887417218543,5.560424267346769
/runtime/apps/behavior/instances?pageable=office&assembler=exactly,0,53,66,78,86,114,142,185,218,683,0.0,72.88614718614718,5.600363092122721
/runtime/apps/goal/instances?pageable=partner&assembler=hot,0,55,68,78,86,108,132,167,193,434,0.0,72.83282608695652,6.029578764101356
/runtime/apps/need/instances/usually,0,57,69,78,85,102,120,144,175,369,0.0,72.85964912280701,6.764471223862185
/runtime/apps/large/instances/car,0,57,69,79,85,102,119,148,170,421,0.0,72.86211453744494,6.777775582820917
/runtime/apps/toward/instances/debate,0,58,70,80,86,102,119,141,173,379,0.0,72.86717724288839,6.853996342106077
/runtime/apps/same/instances/bed,0,58,69,79,85,101,118,144,171,472,0.0,72.87039473684212,6.917008372866393
/,0,64,75,83,87,100,110,122,129,193,0.0,72.87441364605543,8.571734952190868
/,0,64,74,82,87,99,109,120,126,179,0.0,72.8621505376344,8.838340963927541
/,0,64,74,82,86,98,109,119,126,182,0.0,72.8561555075594,8.829332375394687
/,0,64,74,82,86,98,108,119,126,177,0.0,72.85259740259741,8.74753505400038
/completions/stream?start=reach&detailLevel=11768,0,937,978,1009,1040,1661,1779,1919,2500,4342,0.0,72.63094669848847,3.9939548709423494
/completions/task?start=prevent&detailLevel=48493,0,920,967,1001,1037,1660,1801,2437,2709,4433,0.0,72.64903914590747,4.1180332966381314
/completions/stream?start=newspaper&detailLevel=26030,0,943,982,1009,1033,1685,1807,2281,2498,3566,0.0,72.62775080906148,115.74849532640454
/completions/stream?start=red&detailLevel=67,0,940,982,1019,1063,1693,1821,2470,2582,4108,0.0,72.63769113149847,4.021573847053686
/runtime/apps?pageable=girl&assembler=able,0,542,791,835,862,942,1586,1736,2350,3879,0.0,72.7286432160804,4.479534640141568
/runtime/apps?pageable=real&assembler=both,0,496,776,827,854,923,1554,1725,2350,4083,0.0,72.7385659967409,79.42224855724596
/runtime/apps?pageable=summer&assembler=fund,0,469,760,822,851,933,1573,1721,2360,4138,0.0,72.75158227848101,222.77860893587103
/completions/task?start=beat&detailLevel=16341,0,922,968,1001,1030,1616,1761,2005,2469,3812,0.0,72.64864479315264,200.97056624581228
/completions/task?start=bit&detailLevel=35746,0,929,972,1003,1032,1671,1809,2476,2615,4275,0.0,72.64230483271375,311.92900699106707
/completions/task?start=visit&detailLevel=16842,0,927,970,1000,1028,1594,1779,2237,2509,3441,0.0,72.64112359550562,210.8565749969969
/jobs/thinexecutions?pageable=senior&assembler=suddenly&taskExecutionId=37198&schemaTarget=fact&name=despite&jobInstanceId=53870&fromDate=activity&toDate=market,0,252,369,585,752,864,967,1649,1780,4964,0.0,72.83674008810573,187.3964949700037
/tasks/thinexecutions?pageable=laugh&pagedAssembler=realize&name=other,0,328,456,563,657,993,1677,2509,3256,6187,0.0,73.11990202082058,168.79526176374375
"/audit-records?pageable=price&actions=['individual', 'rule']&operations=['laugh']&fromDate=second&toDate=evening&assembler=trouble",0,310,545,777,817,895,1329,1685,1789,5257,0.0,72.79199417758369,205.53077082898088
/runtime/apps?pageable=and&assembler=skill,0,471,763,823,848,926,1562,1725,2320,3781,0.0,72.74992050874404,223.7559892348493
/jobs/instances?name=identify&pageable=force&assembler=culture,0,259,384,597,764,870,961,1628,1739,3997,0.0,72.83522123893806,188.0589803358708
/jobs/executions?name=bag&status=word&pageable=health&assembler=season,0,257,383,614,762,872,982,1653,1791,4101,0.0,72.83451484271157,188.50146172880483
/completions/stream?start=require&detailLevel=38175,0,937,979,1009,1048,1711,1834,2460,2650,3309,0.0,72.62715447154471,340.9068548391087
